relative_path,category,doi,doi_source,is_oa,oa_status,best_free_url,notes
Literature/CapMarine-2022.-Stewart-Norman-Dave-Japp-Jodie-Reed-and-Colin-Attwood.-Investigating-RFMO-Bycatch-Observer-Coverage-in-Tuna-Longline-Fisheries..pdf,uncertain,,none,,,,"Consultancy report, not a journal article. Capricorn Marine Environmental (Pty) Ltd, Cape Town, 30 September 2022, contracted by THE PEW CHARITABLE TRUSTS. No DOI, no ISBN, and no distribution or confidentiality statement in the front matter. MANUAL CHECK: confirm Pew published it publicly, and link to their copy."
Literature/CCSBT/ESC26_35_CCSBT_CPUE.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/ESC30_11_CCSBT_joint_CPUE_2025.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/ESC30_32_TW_CPUE_rev1.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/ESC30_36_KR_Korean_SBT_CPUE_STD.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/ESC30_BGD01_JP_LLOpeMonitoring.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/ESC30_BGD02_JP_CPUE_GAM.pdf,rfmo_verify,,none,,,,"CCSBT ESC meeting paper. No restriction notice on the document itself, but CCSBT may limit ESC papers to members - verify with the CCSBT Secretariat."
Literature/CCSBT/Hoyle et al 2022 CPUE standardization for SBT in the Korean longline fishery.pdf,journal,10.7717/peerj.13951,page_text,TRUE,gold,https://doi.org/10.7717/peerj.13951,"Not covered by any filename rule in the brief - sits in CCSBT/ but is not an ESC paper. PeerJ; page 1 states Creative Commons CC-BY 4.0, OPEN ACCESS. Unpaywall: PeerJ; host: publisher; licence: cc-by."
Literature/fsaf114.pdf,journal,10.1093/icesjms/fsaf114,pdf_metadata,TRUE,gold,https://academic.oup.com/icesjms/article-pdf/82/7/fsaf114/63709766/fsaf114.pdf,Unpaywall: ICES Journal of Marine Science; host: publisher; licence: cc-by.
Literature/General/Campbell 2015 Nuts and bolts CPUE.pdf,journal,10.1016/j.fishres.2014.07.004,pdf_metadata,FALSE,closed,,Unpaywall: Fisheries Research.
Literature/General/Ducharme-Barth et al 2022 Impacts of fishery-dependent spatial sampling on CPUE - simulation & application.pdf,journal,10.1016/j.fishres.2021.106169,pdf_metadata,TRUE,hybrid,https://doi.org/10.1016/j.fishres.2021.106169,Page 1 states: open access under the CC BY license. Unpaywall: Fisheries Research; host: publisher; licence: cc-by.
Literature/General/Hoyle et al 2024 CPUE good practices.pdf,journal,10.1016/j.fishres.2023.106860,pdf_metadata,FALSE,closed,,"Page 1 states: (c) 2023 Elsevier B.V., all rights reserved - no OA statement on the article itself. Unpaywall: Fisheries Research."
Literature/General/Hsu et al 2022 Influence of spatial treatments on catch-per-unit-effort standardization - Saury example.pdf,journal,10.1016/j.fishres.2022.106440,pdf_metadata,FALSE,closed,,"Page 1 states: (c) 2022 Elsevier B.V., all rights reserved - no OA statement on the article itself. Unpaywall: Fisheries Research."
Literature/General/IOTC-2024-WPTT26DP-16rev3_-_Effort_creep.pdf,rfmo_public,,none,,,,Primary record for the effort-creep paper; WCPFC_SPC/SC20-SA-IP-19 is the same document.
Literature/General/SC10-SA-IP-10RecmethodsforstandardizingCPUEdata.pdf,rfmo_public,,none,,,,
Literature/General/Yang et al 2025 Key factors affecting spatiotemporal variability of longline fishing in WCPO.pdf,journal,10.1016/j.fishres.2025.107605,pdf_metadata,FALSE,closed,,Unpaywall: Fisheries Research.
Literature/IATTC/1-s2.0-S016578360300002X-main.pdf,journal,10.1016/S0165-7836(03)00002-X,pdf_metadata,FALSE,closed,,Unpaywall: Fisheries Research.
Literature/IATTC/1-s2.0-S0165783604001638-main.pdf,journal,10.1016/j.fishres.2004.08.002,pdf_metadata,FALSE,closed,,Unpaywall: Fisheries Research.
Literature/IATTC/1-s2.0-S0165783620301119-main.pdf,journal,10.1016/j.fishres.2020.105594,pdf_metadata,TRUE,green,http://repository.library.noaa.gov/view/noaa/30681/noaa_30681_DS1.pdf,Unpaywall: Fisheries Research; host: repository.
Literature/IATTC/1-s2.0-S0165783620301284-main.pdf,journal,10.1016/j.fishres.2020.105611,pdf_metadata,FALSE,closed,,Unpaywall: Fisheries Research.
Literature/IATTC/1-s2.0-S0165783624001759-main.pdf,journal,10.1016/j.fishres.2024.107111,pdf_metadata,FALSE,closed,,"Page 1 states: (c) 2024 Elsevier B.V., all rights reserved. Unpaywall: Fisheries Research."
Literature/IATTC/BET-01-04_Investigation-of-CPUE-data-DRAFT.pdf,rfmo_public,,none,,,,
Literature/IATTC/OTM-30-PRES_CPUE-as-an-index-of-relative-abundance.pdf,rfmo_public,,none,,,,
Literature/IATTC/OTM-30-RPT_Workshop-to-improve-the-longline-indices-of-abundance-of-bigeye-and-yellowfin-tunas-in-the-eastern-Pacific-Ocean.pdf,rfmo_public,,none,,,,
Literature/IATTC/RVDTT-01-02_Longline-index-of-relative-abundance-for-BET-in-the-EPO.pdf,rfmo_public,,none,,,,
Literature/IATTC/RVDTT-01-RPT_1st-External-review-of-data-used-in-stock-assessments-of-tropical-tuna-in-the-eastern-Pacific-Ocean.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-04-05b_Analyses-of-Japanese-longline-catch-and-effort-data-for-bigeye.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-05-08b_Updated-operational-level-indices-for-Japanese-longline-fisheries.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-07-03d_Correction-of-longline-length-frequency-database.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-08-05d_Spatial-temporal-modeling-of-CPUE-data.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-08-07b_Preliminary-metadata-review-for-the-high-seas-longline-fishery.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-09-INF-F_TWN-EPO-CPUE-BET-YFT.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-10-INF-F_Evaluating-inconsistencies-in-the-yellowfin-abundance-indices.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-11-06_Bigeye-tuna-benchmark-assessment-2019.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-11-07_Yellowfin-tuna-benchmark-assessment-2019.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-11-INF-K_Korean-longline-catch-and-size-data-for-the-EPO.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-11-INF-L_Korean-longline-length-data.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-13-INF-M_Comparison-of-Indices-of-abundance-for-the-swordfish.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-13-INF-N_Japanese-logbook-analysis-for-the-southern-eastern-Swordfish.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-14-INF-Q_1st-workshop-on-improvements-in-data-collection-and-provision-(LL-fishery)-–-updated-recommendations.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-15-02_Bigeye-tuna-benchmark-assessment-2024.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-16-03_Yellowfin-benchmark-assessment-2025.pdf,rfmo_public,,none,,,,
